[2024-04-15T17:25:02.225+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-04-15T17:25:02.248+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_verdemar_to_s3.generate_and_upload_csv scheduled__2024-04-14T00:00:00+00:00 [queued]>
[2024-04-15T17:25:02.275+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_verdemar_to_s3.generate_and_upload_csv scheduled__2024-04-14T00:00:00+00:00 [queued]>
[2024-04-15T17:25:02.275+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 1
[2024-04-15T17:25:02.290+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): generate_and_upload_csv> on 2024-04-14 00:00:00+00:00
[2024-04-15T17:25:02.300+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=75) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-04-15T17:25:02.302+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'upload_verdemar_to_s3', 'generate_and_upload_csv', 'scheduled__2024-04-14T00:00:00+00:00', '--job-id', '36', '--raw', '--subdir', 'DAGS_FOLDER/verdemar_api_dag.py', '--cfg-path', '/tmp/tmpa7nb5c8p']
[2024-04-15T17:25:02.303+0000] {standard_task_runner.py:63} INFO - Started process 77 to run task
[2024-04-15T17:25:02.303+0000] {standard_task_runner.py:91} INFO - Job 36: Subtask generate_and_upload_csv
[2024-04-15T17:25:02.445+0000] {task_command.py:426} INFO - Running <TaskInstance: upload_verdemar_to_s3.generate_and_upload_csv scheduled__2024-04-14T00:00:00+00:00 [running]> on host 6c246f1ba8c5
[2024-04-15T17:25:02.534+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Alexandre Piterman' AIRFLOW_CTX_DAG_ID='upload_verdemar_to_s3' AIRFLOW_CTX_TASK_ID='generate_and_upload_csv' AIRFLOW_CTX_EXECUTION_DATE='2024-04-14T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-04-14T00:00:00+00:00'
[2024-04-15T17:25:02.536+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-04-15T17:25:03.635+0000] {logging_mixin.py:188} INFO - []
[2024-04-15T17:25:04.816+0000] {logging_mixin.py:188} INFO - []
[2024-04-15T17:25:05.693+0000] {logging_mixin.py:188} INFO - []
[2024-04-15T17:25:06.491+0000] {logging_mixin.py:188} INFO - []
[2024-04-15T17:25:08.628+0000] {logging_mixin.py:188} INFO - []
[2024-04-15T17:25:09.341+0000] {logging_mixin.py:188} INFO - []
[2024-04-15T17:25:09.969+0000] {logging_mixin.py:188} INFO - []
[2024-04-15T17:25:10.582+0000] {logging_mixin.py:188} INFO - []
[2024-04-15T17:25:11.233+0000] {logging_mixin.py:188} INFO - []
[2024-04-15T17:25:11.855+0000] {logging_mixin.py:188} INFO - []
[2024-04-15T17:25:12.464+0000] {logging_mixin.py:188} INFO - []
[2024-04-15T17:25:13.675+0000] {logging_mixin.py:188} INFO - []
[2024-04-15T17:25:15.193+0000] {logging_mixin.py:188} INFO - []
[2024-04-15T17:25:16.198+0000] {logging_mixin.py:188} INFO - []
[2024-04-15T17:25:17.481+0000] {logging_mixin.py:188} INFO - []
[2024-04-15T17:25:18.950+0000] {logging_mixin.py:188} INFO - []
[2024-04-15T17:25:20.132+0000] {logging_mixin.py:188} INFO - []
[2024-04-15T17:25:20.996+0000] {logging_mixin.py:188} INFO - [16]
[2024-04-15T17:25:22.171+0000] {logging_mixin.py:188} INFO - [16, 17]
